date,state,district,type,beds
2021-01-01,Johor,Batu Pahat,special_medical_institution,0
2022-01-01,Johor,Batu Pahat,special_medical_institution,0
2015-01-01,Johor,Johor Bahru,all,2825
2016-01-01,Johor,Johor Bahru,all,3042
2017-01-01,Johor,Johor Bahru,all,3042
2018-01-01,Johor,Johor Bahru,all,3042
2019-01-01,Johor,Johor Bahru,all,3042
2020-01-01,Johor,Johor Bahru,all,3042
2021-01-01,Johor,Johor Bahru,all,3042
2022-01-01,Johor,Johor Bahru,all,3042
2015-01-01,Johor,Johor Bahru,hospital_moh,1693
2016-01-01,Johor,Johor Bahru,hospital_moh,1910
2017-01-01,Johor,Johor Bahru,hospital_moh,1910
2018-01-01,Johor,Johor Bahru,hospital_moh,1910
2019-01-01,Johor,Johor Bahru,hospital_moh,1910
2020-01-01,Johor,Johor Bahru,hospital_moh,1910
2021-01-01,Johor,Johor Bahru,hospital_moh,1910
2022-01-01,Johor,Johor Bahru,hospital_moh,1910
2015-01-01,Johor,Johor Bahru,hospital_non_moh,0
2016-01-01,Johor,Johor Bahru,hospital_non_moh,0
2017-01-01,Johor,Johor Bahru,hospital_non_moh,0
2018-01-01,Johor,Johor Bahru,hospital_non_moh,0
2019-01-01,Johor,Johor Bahru,hospital_non_moh,0
2020-01-01,Johor,Johor Bahru,hospital_non_moh,0
2021-01-01,Johor,Johor Bahru,hospital_non_moh,0
2022-01-01,Johor,Johor Bahru,hospital_non_moh,0
2015-01-01,Johor,Johor Bahru,special_medical_institution,1132
2016-01-01,Johor,Johor Bahru,special_medical_institution,1132
2017-01-01,Johor,Johor Bahru,special_medical_institution,1132
2018-01-01,Johor,Johor Bahru,special_medical_institution,1132
2019-01-01,Johor,Johor Bahru,special_medical_institution,1132
2020-01-01,Johor,Johor Bahru,special_medical_institution,1132
2021-01-01,Johor,Johor Bahru,special_medical_institution,1132
2022-01-01,Johor,Johor Bahru,special_medical_institution,1132
2015-01-01,Johor,Kluang,all,268
2016-01-01,Johor,Kluang,all,268
2017-01-01,Johor,Kluang,all,268
2018-01-01,Johor,Kluang,all,268
2019-01-01,Johor,Kluang,all,268
2020-01-01,Johor,Kluang,all,308
2021-01-01,Johor,Kluang,all,308
2022-01-01,Johor,Kluang,all,382
2015-01-01,Johor,Kluang,hospital_moh,268
2016-01-01,Johor,Kluang,hospital_moh,268
2017-01-01,Johor,Kluang,hospital_moh,268
2018-01-01,Johor,Kluang,hospital_moh,268
2019-01-01,Johor,Kluang,hospital_moh,268
2020-01-01,Johor,Kluang,hospital_moh,308
2021-01-01,Johor,Kluang,hospital_moh,308
2022-01-01,Johor,Kluang,hospital_moh,382
2015-01-01,Johor,Kluang,hospital_non_moh,0
2016-01-01,Johor,Kluang,hospital_non_moh,0
2017-01-01,Johor,Kluang,hospital_non_moh,0
2018-01-01,Johor,Kluang,hospital_non_moh,0
2019-01-01,Johor,Kluang,hospital_non_moh,0
2020-01-01,Johor,Kluang,hospital_non_moh,0
2021-01-01,Johor,Kluang,hospital_non_moh,0
2022-01-01,Johor,Kluang,hospital_non_moh,0
2015-01-01,Johor,Kluang,special_medical_institution,0
2016-01-01,Johor,Kluang,special_medical_institution,0
2017-01-01,Johor,Kluang,special_medical_institution,0
2018-01-01,Johor,Kluang,special_medical_institution,0
2019-01-01,Johor,Kluang,special_medical_institution,0
2020-01-01,Johor,Kluang,special_medical_institution,0
2021-01-01,Johor,Kluang,special_medical_institution,0
2022-01-01,Johor,Kluang,special_medical_institution,0
2015-01-01,Johor,Kota Tinggi,all,158
2016-01-01,Johor,Kota Tinggi,all,158
2017-01-01,Johor,Kota Tinggi,all,158
2018-01-01,Johor,Kota Tinggi,all,158
2019-01-01,Johor,Kota Tinggi,all,158
2020-01-01,Johor,Kota Tinggi,all,158
2021-01-01,Johor,Kota Tinggi,all,158
2022-01-01,Johor,Kota Tinggi,all,158
2015-01-01,Johor,Kota Tinggi,hospital_moh,158
2016-01-01,Johor,Kota Tinggi,hospital_moh,158
2017-01-01,Johor,Kota Tinggi,hospital_moh,158
2018-01-01,Johor,Kota Tinggi,hospital_moh,158
2019-01-01,Johor,Kota Tinggi,hospital_moh,158
2020-01-01,Johor,Kota Tinggi,hospital_moh,158
2021-01-01,Johor,Kota Tinggi,hospital_moh,158
2022-01-01,Johor,Kota Tinggi,hospital_moh,158
2015-01-01,Johor,Kota Tinggi,hospital_non_moh,0
2016-01-01,Johor,Kota Tinggi,hospital_non_moh,0
2017-01-01,Johor,Kota Tinggi,hospital_non_moh,0
2018-01-01,Johor,Kota Tinggi,hospital_non_moh,0
2019-01-01,Johor,Kota Tinggi,hospital_non_moh,0
2020-01-01,Johor,Kota Tinggi,hospital_non_moh,0
2021-01-01,Johor,Kota Tinggi,hospital_non_moh,0
2022-01-01,Johor,Kota Tinggi,hospital_non_moh,0
2015-01-01,Johor,Kota Tinggi,special_medical_institution,0
2016-01-01,Johor,Kota Tinggi,special_medical_institution,0
2017-01-01,Johor,Kota Tinggi,special_medical_institution,0
2018-01-01,Johor,Kota Tinggi,special_medical_institution,0
2019-01-01,Johor,Kota Tinggi,special_medical_institution,0
2020-01-01,Johor,Kota Tinggi,special_medical_institution,0
2021-01-01,Johor,Kota Tinggi,special_medical_institution,0
2022-01-01,Johor,Kota Tinggi,special_medical_institution,0
2015-01-01,Johor,Kulaijaya,all,93
2016-01-01,Johor,Kulaijaya,all,93
2017-01-01,Johor,Kulaijaya,all,93
2018-01-01,Johor,Kulaijaya,all,93
2019-01-01,Johor,Kulaijaya,all,93
2020-01-01,Johor,Kulaijaya,all,93
2021-01-01,Johor,Kulaijaya,all,93
2022-01-01,Johor,Kulaijaya,all,93
2015-01-01,Johor,Kulaijaya,hospital_moh,93
2016-01-01,Johor,Kulaijaya,hospital_moh,93
2017-01-01,Johor,Kulaijaya,hospital_moh,93
2018-01-01,Johor,Kulaijaya,hospital_moh,93
2019-01-01,Johor,Kulaijaya,hospital_moh,93
2020-01-01,Johor,Kulaijaya,hospital_moh,93
2021-01-01,Johor,Kulaijaya,hospital_moh,93
2022-01-01,Johor,Kulaijaya,hospital_moh,93
2015-01-01,Johor,Kulaijaya,hospital_non_moh,0
2016-01-01,Johor,Kulaijaya,hospital_non_moh,0
2017-01-01,Johor,Kulaijaya,hospital_non_moh,0
2018-01-01,Johor,Kulaijaya,hospital_non_moh,0
2019-01-01,Johor,Kulaijaya,hospital_non_moh,0
2020-01-01,Johor,Kulaijaya,hospital_non_moh,0
2021-01-01,Johor,Kulaijaya,hospital_non_moh,0
2022-01-01,Johor,Kulaijaya,hospital_non_moh,0
2015-01-01,Johor,Kulaijaya,special_medical_institution,0
2016-01-01,Johor,Kulaijaya,special_medical_institution,0
2017-01-01,Johor,Kulaijaya,special_medical_institution,0
2018-01-01,Johor,Kulaijaya,special_medical_institution,0
2019-01-01,Johor,Kulaijaya,special_medical_institution,0
2020-01-01,Johor,Kulaijaya,special_medical_institution,0
2021-01-01,Johor,Kulaijaya,special_medical_institution,0
2022-01-01,Johor,Kulaijaya,special_medical_institution,0
2015-01-01,Johor,Ledang,all,69
2016-01-01,Johor,Ledang,all,69
2017-01-01,Johor,Ledang,all,69
2018-01-01,Johor,Ledang,all,69
2019-01-01,Johor,Ledang,all,69
2020-01-01,Johor,Ledang,all,69
2021-01-01,Johor,Ledang,all,69
2022-01-01,Johor,Ledang,all,69
2015-01-01,Johor,Ledang,hospital_moh,69
2016-01-01,Johor,Ledang,hospital_moh,69
2017-01-01,Johor,Ledang,hospital_moh,69
2018-01-01,Johor,Ledang,hospital_moh,69
2019-01-01,Johor,Ledang,hospital_moh,69
2020-01-01,Johor,Ledang,hospital_moh,69
2021-01-01,Johor,Ledang,hospital_moh,69
2022-01-01,Johor,Ledang,hospital_moh,69
2015-01-01,Johor,Ledang,hospital_non_moh,0
2016-01-01,Johor,Ledang,hospital_non_moh,0
2017-01-01,Johor,Ledang,hospital_non_moh,0
2018-01-01,Johor,Ledang,hospital_non_moh,0
2019-01-01,Johor,Ledang,hospital_non_moh,0
2020-01-01,Johor,Ledang,hospital_non_moh,0
2021-01-01,Johor,Ledang,hospital_non_moh,0
2022-01-01,Johor,Ledang,hospital_non_moh,0
2015-01-01,Johor,Ledang,special_medical_institution,0
2016-01-01,Johor,Ledang,special_medical_institution,0
2017-01-01,Johor,Ledang,special_medical_institution,0
2018-01-01,Johor,Ledang,special_medical_institution,0
2019-01-01,Johor,Ledang,special_medical_institution,0
2020-01-01,Johor,Ledang,special_medical_institution,0
2021-01-01,Johor,Ledang,special_medical_institution,0
2022-01-01,Johor,Ledang,special_medical_institution,0
2015-01-01,Johor,Mersing,all,55
2016-01-01,Johor,Mersing,all,55
2017-01-01,Johor,Mersing,all,55
2018-01-01,Johor,Mersing,all,70
2019-01-01,Johor,Mersing,all,70
2020-01-01,Johor,Mersing,all,70
2021-01-01,Johor,Mersing,all,70
2022-01-01,Johor,Mersing,all,70
2015-01-01,Johor,Mersing,hospital_moh,55
2016-01-01,Johor,Mersing,hospital_moh,55
2017-01-01,Johor,Mersing,hospital_moh,55
2018-01-01,Johor,Mersing,hospital_moh,70
2019-01-01,Johor,Mersing,hospital_moh,70
2020-01-01,Johor,Mersing,hospital_moh,70
2021-01-01,Johor,Mersing,hospital_moh,70
2022-01-01,Johor,Mersing,hospital_moh,70
2015-01-01,Johor,Mersing,hospital_non_moh,0
2016-01-01,Johor,Mersing,hospital_non_moh,0
2017-01-01,Johor,Mersing,hospital_non_moh,0
2018-01-01,Johor,Mersing,hospital_non_moh,0
2019-01-01,Johor,Mersing,hospital_non_moh,0
2020-01-01,Johor,Mersing,hospital_non_moh,0
2021-01-01,Johor,Mersing,hospital_non_moh,0
2022-01-01,Johor,Mersing,hospital_non_moh,0
2015-01-01,Johor,Mersing,special_medical_institution,0
2016-01-01,Johor,Mersing,special_medical_institution,0
2017-01-01,Johor,Mersing,special_medical_institution,0
2018-01-01,Johor,Mersing,special_medical_institution,0
2019-01-01,Johor,Mersing,special_medical_institution,0
2020-01-01,Johor,Mersing,special_medical_institution,0
2021-01-01,Johor,Mersing,special_medical_institution,0
2022-01-01,Johor,Mersing,special_medical_institution,0
2015-01-01,Johor,Muar,all,550
2016-01-01,Johor,Muar,all,550
2017-01-01,Johor,Muar,all,550
2018-01-01,Johor,Muar,all,550
2019-01-01,Johor,Muar,all,550
2020-01-01,Johor,Muar,all,550
2021-01-01,Johor,Muar,all,550
2022-01-01,Johor,Muar,all,575
2015-01-01,Johor,Muar,hospital_moh,550
2016-01-01,Johor,Muar,hospital_moh,550
2017-01-01,Johor,Muar,hospital_moh,550
2018-01-01,Johor,Muar,hospital_moh,550
2019-01-01,Johor,Muar,hospital_moh,550
2020-01-01,Johor,Muar,hospital_moh,550
2021-01-01,Johor,Muar,hospital_moh,550
2022-01-01,Johor,Muar,hospital_moh,575
2015-01-01,Johor,Muar,hospital_non_moh,0
2016-01-01,Johor,Muar,hospital_non_moh,0
2017-01-01,Johor,Muar,hospital_non_moh,0
2018-01-01,Johor,Muar,hospital_non_moh,0
2019-01-01,Johor,Muar,hospital_non_moh,0
2020-01-01,Johor,Muar,hospital_non_moh,0
2021-01-01,Johor,Muar,hospital_non_moh,0
2022-01-01,Johor,Muar,hospital_non_moh,0
2015-01-01,Johor,Muar,special_medical_institution,0
2016-01-01,Johor,Muar,special_medical_institution,0
2017-01-01,Johor,Muar,special_medical_institution,0
2018-01-01,Johor,Muar,special_medical_institution,0
2019-01-01,Johor,Muar,special_medical_institution,0
2020-01-01,Johor,Muar,special_medical_institution,0
2021-01-01,Johor,Muar,special_medical_institution,0
2022-01-01,Johor,Muar,special_medical_institution,0
2015-01-01,Johor,Pontian,all,120
2016-01-01,Johor,Pontian,all,120
2017-01-01,Johor,Pontian,all,120
2018-01-01,Johor,Pontian,all,120
2019-01-01,Johor,Pontian,all,120
2020-01-01,Johor,Pontian,all,120
2021-01-01,Johor,Pontian,all,120
2022-01-01,Johor,Pontian,all,120
2015-01-01,Johor,Pontian,hospital_moh,120
2016-01-01,Johor,Pontian,hospital_moh,120
2017-01-01,Johor,Pontian,hospital_moh,120
2018-01-01,Johor,Pontian,hospital_moh,120
2019-01-01,Johor,Pontian,hospital_moh,120
2020-01-01,Johor,Pontian,hospital_moh,120
2021-01-01,Johor,Pontian,hospital_moh,120
2022-01-01,Johor,Pontian,hospital_moh,120
2015-01-01,Johor,Pontian,hospital_non_moh,0
2016-01-01,Johor,Pontian,hospital_non_moh,0
2017-01-01,Johor,Pontian,hospital_non_moh,0
2018-01-01,Johor,Pontian,hospital_non_moh,0
2019-01-01,Johor,Pontian,hospital_non_moh,0
2020-01-01,Johor,Pontian,hospital_non_moh,0
2021-01-01,Johor,Pontian,hospital_non_moh,0
2022-01-01,Johor,Pontian,hospital_non_moh,0
2015-01-01,Johor,Pontian,special_medical_institution,0
2016-01-01,Johor,Pontian,special_medical_institution,0
2017-01-01,Johor,Pontian,special_medical_institution,0
2018-01-01,Johor,Pontian,special_medical_institution,0
2019-01-01,Johor,Pontian,special_medical_institution,0
2020-01-01,Johor,Pontian,special_medical_institution,0
2021-01-01,Johor,Pontian,special_medical_institution,0
2022-01-01,Johor,Pontian,special_medical_institution,0
2015-01-01,Johor,Segamat,all,314
2016-01-01,Johor,Segamat,all,314
2017-01-01,Johor,Segamat,all,314
2018-01-01,Johor,Segamat,all,314
2019-01-01,Johor,Segamat,all,314
2020-01-01,Johor,Segamat,all,314
2021-01-01,Johor,Segamat,all,314
2022-01-01,Johor,Segamat,all,314
2015-01-01,Johor,Segamat,hospital_moh,314
2016-01-01,Johor,Segamat,hospital_moh,314
2017-01-01,Johor,Segamat,hospital_moh,314
2018-01-01,Johor,Segamat,hospital_moh,314
2019-01-01,Johor,Segamat,hospital_moh,314
2020-01-01,Johor,Segamat,hospital_moh,314
2021-01-01,Johor,Segamat,hospital_moh,314
2022-01-01,Johor,Segamat,hospital_moh,314
2015-01-01,Johor,Segamat,hospital_non_moh,0
2016-01-01,Johor,Segamat,hospital_non_moh,0
2017-01-01,Johor,Segamat,hospital_non_moh,0
2018-01-01,Johor,Segamat,hospital_non_moh,0
2019-01-01,Johor,Segamat,hospital_non_moh,0
2020-01-01,Johor,Segamat,hospital_non_moh,0
2021-01-01,Johor,Segamat,hospital_non_moh,0
2022-01-01,Johor,Segamat,hospital_non_moh,0
2015-01-01,Johor,Segamat,special_medical_institution,0
2016-01-01,Johor,Segamat,special_medical_institution,0
2017-01-01,Johor,Segamat,special_medical_institution,0
2018-01-01,Johor,Segamat,special_medical_institution,0
2019-01-01,Johor,Segamat,special_medical_institution,0
2020-01-01,Johor,Segamat,special_medical_institution,0
2021-01-01,Johor,Segamat,special_medical_institution,0
2022-01-01,Johor,Segamat,special_medical_institution,0
2015-01-01,Kedah,All Districts,all,2653
2016-01-01,Kedah,All Districts,all,2689
2017-01-01,Kedah,All Districts,all,2703
2018-01-01,Kedah,All Districts,all,2673
2019-01-01,Kedah,All Districts,all,2711
2020-01-01,Kedah,All Districts,all,2702
2021-01-01,Kedah,All Districts,all,2755
2022-01-01,Kedah,All Districts,all,2762
2015-01-01,Kedah,All Districts,hospital_moh,2653
2016-01-01,Kedah,All Districts,hospital_moh,2689
2017-01-01,Kedah,All Districts,hospital_moh,2703
2018-01-01,Kedah,All Districts,hospital_moh,2673
2019-01-01,Kedah,All Districts,hospital_moh,2711
2020-01-01,Kedah,All Districts,hospital_moh,2702
2021-01-01,Kedah,All Districts,hospital_moh,2755
2022-01-01,Kedah,All Districts,hospital_moh,2762
2015-01-01,Kedah,All Districts,hospital_non_moh,0
2016-01-01,Kedah,All Districts,hospital_non_moh,0
2017-01-01,Kedah,All Districts,hospital_non_moh,0
2018-01-01,Kedah,All Districts,hospital_non_moh,0
2019-01-01,Kedah,All Districts,hospital_non_moh,0
2020-01-01,Kedah,All Districts,hospital_non_moh,0
2021-01-01,Kedah,All Districts,hospital_non_moh,0
2022-01-01,Kedah,All Districts,hospital_non_moh,0
2015-01-01,Kedah,All Districts,special_medical_institution,0
2016-01-01,Kedah,All Districts,special_medical_institution,0
2017-01-01,Kedah,All Districts,special_medical_institution,0
2018-01-01,Kedah,All Districts,special_medical_institution,0
2019-01-01,Kedah,All Districts,special_medical_institution,0
2020-01-01,Kedah,All Districts,special_medical_institution,0
2021-01-01,Kedah,All Districts,special_medical_institution,0
2022-01-01,Kedah,All Districts,special_medical_institution,0
2015-01-01,Kedah,Baling,all,160
2016-01-01,Kedah,Baling,all,160
2017-01-01,Kedah,Baling,all,160
2018-01-01,Kedah,Baling,all,115
2019-01-01,Kedah,Baling,all,115
2020-01-01,Kedah,Baling,all,115
2021-01-01,Kedah,Baling,all,115
2022-01-01,Kedah,Baling,all,115
2015-01-01,Kedah,Baling,hospital_moh,160
2016-01-01,Kedah,Baling,hospital_moh,160
2017-01-01,Kedah,Baling,hospital_moh,160
2018-01-01,Kedah,Baling,hospital_moh,115
2019-01-01,Kedah,Baling,hospital_moh,115
2020-01-01,Kedah,Baling,hospital_moh,115
2021-01-01,Kedah,Baling,hospital_moh,115
2022-01-01,Kedah,Baling,hospital_moh,115
2015-01-01,Kedah,Baling,hospital_non_moh,0
2016-01-01,Kedah,Baling,hospital_non_moh,0
2017-01-01,Kedah,Baling,hospital_non_moh,0
2018-01-01,Kedah,Baling,hospital_non_moh,0
2019-01-01,Kedah,Baling,hospital_non_moh,0
2020-01-01,Kedah,Baling,hospital_non_moh,0
2021-01-01,Kedah,Baling,hospital_non_moh,0
2022-01-01,Kedah,Baling,hospital_non_moh,0
2015-01-01,Kedah,Baling,special_medical_institution,0
2016-01-01,Kedah,Baling,special_medical_institution,0
2017-01-01,Kedah,Baling,special_medical_institution,0
2018-01-01,Kedah,Baling,special_medical_institution,0
2019-01-01,Kedah,Baling,special_medical_institution,0
2020-01-01,Kedah,Baling,special_medical_institution,0
2021-01-01,Kedah,Baling,special_medical_institution,0
2022-01-01,Kedah,Baling,special_medical_institution,0
2015-01-01,Kedah,Bandar Baharu,all,0
2016-01-01,Kedah,Bandar Baharu,all,0
2017-01-01,Kedah,Bandar Baharu,all,0
2018-01-01,Kedah,Bandar Baharu,all,0
2019-01-01,Kedah,Bandar Baharu,all,0
2020-01-01,Kedah,Bandar Baharu,all,0
2021-01-01,Kedah,Bandar Baharu,all,0
2022-01-01,Kedah,Bandar Baharu,all,0
2015-01-01,Kedah,Bandar Baharu,hospital_moh,0
2016-01-01,Kedah,Bandar Baharu,hospital_moh,0
2017-01-01,Kedah,Bandar Baharu,hospital_moh,0
2018-01-01,Kedah,Bandar Baharu,hospital_moh,0
2019-01-01,Kedah,Bandar Baharu,hospital_moh,0
2020-01-01,Kedah,Bandar Baharu,hospital_moh,0
2021-01-01,Kedah,Bandar Baharu,hospital_moh,0
2022-01-01,Kedah,Bandar Baharu,hospital_moh,0
2015-01-01,Kedah,Bandar Baharu,hospital_non_moh,0
2016-01-01,Kedah,Bandar Baharu,hospital_non_moh,0
2017-01-01,Kedah,Bandar Baharu,hospital_non_moh,0
2018-01-01,Kedah,Bandar Baharu,hospital_non_moh,0
2019-01-01,Kedah,Bandar Baharu,hospital_non_moh,0
2020-01-01,Kedah,Bandar Baharu,hospital_non_moh,0
2021-01-01,Kedah,Bandar Baharu,hospital_non_moh,0
2022-01-01,Kedah,Bandar Baharu,hospital_non_moh,0
2015-01-01,Kedah,Bandar Baharu,special_medical_institution,0
2016-01-01,Kedah,Bandar Baharu,special_medical_institution,0
2017-01-01,Kedah,Bandar Baharu,special_medical_institution,0
2018-01-01,Kedah,Bandar Baharu,special_medical_institution,0
2019-01-01,Kedah,Bandar Baharu,special_medical_institution,0
2020-01-01,Kedah,Bandar Baharu,special_medical_institution,0
2021-01-01,Kedah,Bandar Baharu,special_medical_institution,0
2022-01-01,Kedah,Bandar Baharu,special_medical_institution,0
2015-01-01,Kedah,Kota Setar,all,1084
2016-01-01,Kedah,Kota Setar,all,1084
2017-01-01,Kedah,Kota Setar,all,1081
2018-01-01,Kedah,Kota Setar,all,1108
2019-01-01,Kedah,Kota Setar,all,1108
2020-01-01,Kedah,Kota Setar,all,1108
2021-01-01,Kedah,Kota Setar,all,1108
2022-01-01,Kedah,Kota Setar,all,1108
2015-01-01,Kedah,Kota Setar,hospital_moh,1084
2016-01-01,Kedah,Kota Setar,hospital_moh,1084
2017-01-01,Kedah,Kota Setar,hospital_moh,1081
2018-01-01,Kedah,Kota Setar,hospital_moh,1108
2019-01-01,Kedah,Kota Setar,hospital_moh,1108
2020-01-01,Kedah,Kota Setar,hospital_moh,1108
2021-01-01,Kedah,Kota Setar,hospital_moh,1108
2022-01-01,Kedah,Kota Setar,hospital_moh,1108
2015-01-01,Kedah,Kota Setar,hospital_non_moh,0
2016-01-01,Kedah,Kota Setar,hospital_non_moh,0
2017-01-01,Kedah,Kota Setar,hospital_non_moh,0
2018-01-01,Kedah,Kota Setar,hospital_non_moh,0
2019-01-01,Kedah,Kota Setar,hospital_non_moh,0
2020-01-01,Kedah,Kota Setar,hospital_non_moh,0
2021-01-01,Kedah,Kota Setar,hospital_non_moh,0
2022-01-01,Kedah,Kota Setar,hospital_non_moh,0
2015-01-01,Kedah,Kota Setar,special_medical_institution,0
2016-01-01,Kedah,Kota Setar,special_medical_institution,0
2017-01-01,Kedah,Kota Setar,special_medical_institution,0
2018-01-01,Kedah,Kota Setar,special_medical_institution,0
2019-01-01,Kedah,Kota Setar,special_medical_institution,0
2020-01-01,Kedah,Kota Setar,special_medical_institution,0
2021-01-01,Kedah,Kota Setar,special_medical_institution,0
2022-01-01,Kedah,Kota Setar,special_medical_institution,0
2015-01-01,Kedah,Kuala Muda,all,628
2016-01-01,Kedah,Kuala Muda,all,628
2017-01-01,Kedah,Kuala Muda,all,628
2018-01-01,Kedah,Kuala Muda,all,628
2019-01-01,Kedah,Kuala Muda,all,696
2020-01-01,Kedah,Kuala Muda,all,696
2021-01-01,Kedah,Kuala Muda,all,696
2022-01-01,Kedah,Kuala Muda,all,703
2015-01-01,Kedah,Kuala Muda,hospital_moh,628
2016-01-01,Kedah,Kuala Muda,hospital_moh,628
2017-01-01,Kedah,Kuala Muda,hospital_moh,628
2018-01-01,Kedah,Kuala Muda,hospital_moh,628
2019-01-01,Kedah,Kuala Muda,hospital_moh,696
2020-01-01,Kedah,Kuala Muda,hospital_moh,696
2021-01-01,Kedah,Kuala Muda,hospital_moh,696
2022-01-01,Kedah,Kuala Muda,hospital_moh,703
2015-01-01,Kedah,Kuala Muda,hospital_non_moh,0
2016-01-01,Kedah,Kuala Muda,hospital_non_moh,0
2017-01-01,Kedah,Kuala Muda,hospital_non_moh,0
2018-01-01,Kedah,Kuala Muda,hospital_non_moh,0
2019-01-01,Kedah,Kuala Muda,hospital_non_moh,0
2020-01-01,Kedah,Kuala Muda,hospital_non_moh,0
2021-01-01,Kedah,Kuala Muda,hospital_non_moh,0
2022-01-01,Kedah,Kuala Muda,hospital_non_moh,0
